"Time","Torque_in","Clutch1_in","Clutch2_in","Clutch3_in"
1.16599999999998,-8.76306680044131,0.10615345613492,1,1
1.16699999999998,-8.60742027004228,0.104903835888864,1,1
1.16799999999998,-8.44327925502317,0.103654049985333,1,1
1.16899999999998,-8.2708057427488,0.102404100397908,1,1
1.16999999999998,-8.09016994375282,0.10115398910043,1,1
1.17099999999998,-7.90155012376042,0.099903718066997,1,1
1.17199999999998,-7.70513242776156,0.098653289271956,1,1
1.17299999999998,-7.50111069630842,0.0974027046899063,1,1
1.17399999999998,-7.28968627421811,0.0961519662956903,1,1
1.17499999999998,-7.07106781186962,0.0949010760643952,1,1
1.17599999999998,-6.84547105929118,0.0936500359713468,1,1
1.17699999999998,-6.61311865324097,0.0923988479921092,1,1
1.17799999999998,-6.37423989749149,0.0911475141024786,1,1
1.17899999999998,-6.12907053653451,0.0898960362784823,1,1
1.17999999999998,-5.87785252292962,0.0886444164963733,1,1
1.18099999999998,-5.62083377852633,0.0873926567326315,1,1
1.18199999999998,-5.35826794979513,0.0861407589639559,1,1
1.18299999999998,-5.090414157509,0.0848887251672641,1,1
1.18399999999998,-4.81753674102256,0.0836365573196881,1,1
1.18499999999998,-4.539904997401,0.0823842573985721,1,1
1.18599999999998,-4.25779291565638,0.0811318273814685,1,1
1.18699999999998,-3.97147890635357,0.0798792692461353,1,1
1.18799999999998,-3.68124552685266,0.0786265849705327,1,1
1.18899999999998,-3.38737920245889,0.0773737765328198,1,1
1.18999999999998,-3.09016994375554,0.0761208459113529,1,1
1.19099999999998,-2.78991106039845,0.0748677950846805,1,1
1.19199999999998,-2.4868988716548,0.0736146260315401,1,1
1.19299999999998,-2.18143241397176,0.0723613407308566,1,1
1.19399999999998,-1.87381314586366,0.0711079411617394,1,1
1.19499999999998,-1.56434465040879,0.0698544293034773,1,1
1.19599999999998,-1.25333233564958,0.0686008071355363,1,1
1.19699999999998,-0.941083133191737,0.0673470766375571,1,1
1.19799999999998,-0.627905195299781,0.0660932397893513,1,1
1.19899999999998,-0.314107590787977,0.0648392985708984,1,1
1.19999999999998,-6.73484171492524E-12,0.0635852549623427,1,1
1.20099999999998,0.31410759077452,0.0623311109439902,1,1
1.20199999999998,0.627905195286346,0.0610768684963052,1,1
1.20299999999998,0.941083133178338,0.0598225295999089,1,1
1.20399999999998,1.25333233563623,0.0585680962355724,1,1
1.20499999999998,1.56434465039549,0.0573135703842176,1,1
1.20599999999998,1.87381314585043,0.0560589540269116,1,1
1.20699999999998,2.18143241395862,0.0548042491448658,1,1
1.20799999999998,2.48689887164176,0.0535494577194304,1,1
1.20899999999998,2.78991106038553,0.0522945817320916,1,1
1.20999999999998,3.09016994374274,0.0510396231644698,1,1
1.21099999999998,3.38737920244622,0.0497845839983167,1,1
1.21199999999998,3.68124552684013,0.04852946621551,1,1
1.21299999999998,3.97147890634122,0.0472742717980522,1,1
